Round	defense	TrayID	InvPop	InvMI	InvMom	InvIndiv	InvRem	InvEat	NatPop	NatMI	NatMom	NatIndiv	NatRem	NatEat	MostEat	EatDiffI.N	InvEat.arsq	NatEat.arsq	MostEat.Scan	EatenRatioI.N	Eatenlog	eat.bin
induced 2 5-21	2	induced	5-21	US001	3j	3	j	0.972	0.028	TR001	19a	19	a	0.839	0.161	nat	-0.133	9.63260122870171	23.6559016627663	inv	0.173913043478261	-1.74919985480926	0
induced 2 5-22	2	induced	5-22	US001	3j	3	j	0.944	0.056	UA004	18i	18	i	0.597	0.403	nat	-0.347	13.6883168590325	39.4063077163773	inv	0.138957816377171	-1.97358487121153	0
induced 2 5-23	2	induced	5-23	US002	22c	22	c	0.907	0.093	TR001	19a	19	a	0.943	0.057		0.036	17.7554565192381	13.812395106025	nat	1.63157894736842	0.489548225318706	1
induced 2 5-24	2	induced	5-24	US002	22c	22	c	0.892	0.108	GR003	3e	3		0.888	0.112	inv	-0.004	19.1855965485961	19.5518418966634	inv	0.964285714285714	-0.0363676441708748	0
induced 2 5-25	2	induced	5-25	US002	22c	22	c	1	0	UA005	18e	18	e	0.769	0.231	nat	-0.231	0	28.725812332845	inv	0	-Inf	0
induced 2 5-26	2	induced	5-26	US003	28g	28	g	0.901	0.099	HU001	28c	28	c	0.764	0.236	inv	-0.137	18.3389930167637	29.0643934606774	inv	0.419491525423729	-0.86871195489102	0
induced 2 5-27	2	induced	5-27	US003	28g	28	g	0.989	0.011	RO004	13f	13	f	0.972	0.028	inv	-0.017	6.02022196392814	9.63260122870171	inv	0.392857142857143	-0.934309237376833	0
induced 2 5-28	2	induced	5-28	US003	28g	28	g	0.836	0.164	UA006	22b	22	b	0.422	0.578	nat	-0.414	23.8888679582878	49.4867255051805	inv	0.283737024221453	-1.25970744084818	0
induced 2 5-29	2	induced	5-29	US011	8b	8	b	0.41	0.59	HU001	13b	13	b	0.878	0.122	inv	0.468	50.1841971339423	20.4433096444142	nat	4.83606557377049	1.57610149216651	1
induced 2 5-30	2	induced	5-30	US011	8b	8	b	0.954	0.046	RO004	3j	3	j	0.775	0.225	nat	-0.179	12.384624917316	28.316108267512	inv	0.204444444444444	-1.58745900571533	0
induced 2 5-31	2	induced	5-31	US011	8b	8	b	0.893	0.107	TR004	18b	18	b	0.847	0.153	nat	-0.046	19.093109806647	23.0258949239714	inv	0.699346405228758	-0.357609086930529	0
induced 2 5-32	2	induced	5-32	US012	29a	29	a	0.624	0.376	RO002	18a	18	a	0.883	0.117	inv	0.259	37.8198884549265	20.0017085400814	nat	3.21367521367521	1.16741520859214	1
induced 2 6-1	2	induced	6-1	US012	29a	29	a	1	0	RO005	17k	17	k	1	0		0	0	0	tie	NA	NA	2
induced 2 6-2	2	induced	6-2	US012	29a	29	a	0.695	0.305	UA002	13e	13	e	NA	NA	inv	0.305	33.5222942199443	NA	nat	NA	NA	1
induced 2 6-3	2	induced	6-3	US014	16a	16	a	0.864	0.136	RO002	18q	18	q	1	0	inv	0.136	21.6402115806128	0	nat	Inf	Inf	1
induced 2 6-4	2	induced	6-4	US014	16a	16	a	1	0	RU008	19h	19	h	1	0	inv	0	0	0	tie	NA	NA	2
induced 2 6-5	2	induced	6-5	US014	16a	16	a	0.827	0.173	UA005	18b	18	b	1	0	inv	0.173	24.5777315717648	0	nat	Inf	Inf	1
induced 2 6-6	2	induced	6-6	CA008	4f	4	f	0.881	0.119	GR003	17b	17	b	1	0	inv	0.119	20.1793093935556	0	nat	Inf	Inf	1
induced 2 6-7	2	induced	6-7	CA008	4f	4	f	1	0	TR001	19i	19	i	0.564	0.436	nat	-0.436	0	41.3224201927387	inv	0	-Inf	0
induced 2 6-8	2	induced	6-8	CA008	4f	4	f	1	0	TR005	9b	9	b	0.932	0.068	nat	-0.068	0	15.1154374781804	inv	0	-Inf	0
induced 2 6-9	2	induced	6-9	CA007	4a	4	a	1	0	TR003	14c	14	c	0.922	0.078	nat	-0.078	0	16.2173033968934	inv	0	-Inf	0
induced 2 6-10	2	induced	6-10	CA007	4a	4	a	1	0	RO001	21e	21	e	0.753	0.247	nat	-0.247	0	29.8007159964258	inv	0	-Inf	0
induced 2 6-11	2	induced	6-11	CA007	4a	4	a	0.977	0.023	BG001	16a	16	a	1	0	inv	0.023	8.72287517594834	0	nat	Inf	Inf	1
induced 2 6-12	2	induced	6-12	US015	17a	17	a	0.667	0.333	RU008	19h	19	h	1	0	inv	0.333	35.2436505323284	0	nat	Inf	Inf	1
induced 2 6-13	2	induced	6-13	US015	17a	17	a	0.853	0.147	RO003	15j	15	j	1	0	inv	0.147	22.5444986489931	0	nat	Inf	Inf	1
induced 2 6-14	2	induced	6-14	US015	17a	17	a	0.999	0.001	GR003	17b	17	b	1	0	inv	0.001	1.81212909252567	0	nat	Inf	Inf	1
induced 2 6-15	2	induced	6-15	US018	11a	11	a	0.835	0.165	TR005	9b	9	b	1	0	inv	0.165	23.9661415332867	0	nat	Inf	Inf	1
induced 2 6-16	2	induced	6-16	US018	11a	11	a	1	0	RO004	3j	3	j	1	0		0	0	0	tie	NA	NA	2
induced 2 6-17	2	induced	6-17	US018	11a	11	a	1	0	TR004	18b	18	b	1	0	nat	0	0	0	tie	NA	NA	2
induced 2 6-18	2	induced	6-18	US020	24e	24	e	1	0	RO004	3j	3	j	1	0	inv	0	0	0	tie	NA	NA	2
induced 2 6-19	2	induced	6-19	US020	24e	24	e	0.979	0.021	TR004	18b	18	b	1	0	inv	0.021	8.33217232558079	0	nat	Inf	Inf	1
induced 2 6-20	2	induced	6-20	US020	24e	24	e	1	0	GR002	8e	8	e	1	0		0	0	0	tie	NA	NA	2
induced 2 6-21	2	induced	6-21	US021	8b	8	b	1	0	TR001	19i	19	i	1	0		0	0	0	tie	NA	NA	2
induced 2 6-22	2	induced	6-22	US021	8b	8	b	1	0	RO005	17k	17	k	1	0		0	0	0	tie	NA	NA	2
induced 2 6-23	2	induced	6-23	US021	8b	8	b	0.948	0.052	GR003	17b	17	b	1	0	inv	0.052	13.1812372054198	0	nat	Inf	Inf	1
induced 2 6-24	2	induced	6-24	US022	42c	42	c	1	0	GR002	8e	8	e	0.972	0.028	nat	-0.028	0	9.63260122870171	inv	0	-Inf	0
induced 2 6-25	2	induced	6-25	US022	42c	42	c	1	0	RO005	17k	17	k	1	0	nat	0	0	0	tie	NA	NA	2
induced 2 6-26	2	induced	6-26	US022	42c	42	c	1	0	HU001	13b	13	b	1	0	inv	0	0	0	tie	NA	NA	2
induced 2 6-27	2	induced	6-27	US026	35a	35	a	1	0	RU005	6d	6	d	1	0		0	0	0	tie	NA	NA	2
induced 2 6-28	2	induced	6-28	US026	35a	35	a	1	0	TR005	20g	20	g	1	0		0	0	0	tie	NA	NA	2
induced 2 6-29	2	induced	6-29	US026	35a	35	a	1	0	RU002	2e	2	e	0.99	0.01	nat	-0.01	0	5.73909239545157	inv	0	-Inf	0
induced 2 6-30	2	induced	6-30	US023	41b	41	b	1	0	RU002	2e	2	e	1	0		0	0	0	tie	NA	NA	2
induced 2 6-31	2	induced	6-31	US023	41b	41	b	1	0	RO002	15g	15	g	0.765	0.235	nat	-0.235	0	28.9968780761989	inv	0	-Inf	0
induced 2 6-32	2	induced	6-32	US023	41b	41	b	1	0	UA004	7e	7	e	0.8	0.2	nat	-0.2	0	26.5646897577012	inv	0	-Inf	0
