Rack	Pos	PopID	Mom	Indiv	Origin	Trt	Wilt	TotWilt	Death	Note	ID	LfCount1	LfLgth1	LfWdth1	LfCount1.sq	LfLgth1.log	LfWdth1.log
GR001.28.a	50	4	GR001	28	a	nat	drought	5	7	13		GR001.28.a	8	13.2	3.3	2.82842712474619	2.58021682959233	1.19392246847243
RO002.12.j	50	5	RO002	12	j	nat	drought	6	7	14		RO002.12.j	9	12.3	2.9	3	2.50959926237837	1.06471073699243
CA008.5.m	50	6	CA008	5	m	inv	drought	5	8	12		CA008.5.m	10	12.2	3.8	3.16227766016838	2.50143595173921	1.33500106673234
RU001.10.b	50	7	RU001	10	b	nat	drought	6	7	13		RU001.10.b	8	11.8	2.1	2.82842712474619	2.46809953147162	0.741937344729377
CA001.6.j	50	9	CA001	6	j	inv	drought	1	4	8		CA001.6.j	12	15.2	4.2	3.46410161513775	2.72129542785223	1.43508452528932
US003.27.c	50	11	US003	27	c	inv	drought	4	7	12		US003.27.c	10	14.5	3.8	3.16227766016838	2.67414864942653	1.33500106673234
UA005.3.a	50	12	UA005	3	a	nat	drought	5	8	11		UA005.3.a	9	15.6	2.7	3	2.74727091425549	0.993251773010283
US021.1.c	50	15	US021	1	c	inv	drought	12	18	21		US021.1.c	4	10.2	0.8	2	2.32238772029023	-0.22314355131421
US002.5.h	50	16	US002	5	h	inv	drought	2	5	12		US002.5.h	12	14.2	3.2	3.46410161513775	2.65324196460721	1.16315080980568
GR003.3.c	50	17	GR003	3	c	nat	drought	10	13	18		GR003.3.c	5	12.2	2.3	2.23606797749979	2.50143595173921	0.832909122935104
RO003.4.b	50	21	RO003	4	b	nat	drought	3	6	13		RO003.4.b	13	15.9	2.7	3.60555127546399	2.76631910922619	0.993251773010283
UA003.7A.g	50	22	UA003	7A	g	nat	drought	5	6	13		UA003.7A.g	13	15.7	4.7	3.60555127546399	2.75366071235426	1.54756250871601
TR004.14.g	50	24	TR004	14	g	nat	drought	5	7	16		TR004.14.g	10	14.2	3.7	3.16227766016838	2.65324196460721	1.30833281965018
US012.29.b	50	25	US012	29	b	inv	drought	3	7	13		US012.29.b	9	15	3.8	3	2.70805020110221	1.33500106673234
UA004.5.h	50	26	UA004	5	h	nat	drought	2	6	12		UA004.5.h	13	16.4	2.2	3.60555127546399	2.79728133483015	0.78845736036427
TR005.18.l	50	27	TR005	18	l	nat	drought	3	6	19		TR005.18.l	15	11.7	2.2	3.87298334620742	2.45958884180371	0.78845736036427
RU008.16.h	50	29	RU008	16	h	nat	drought	4	6	12		RU008.16.h	12	13.5	3.9	3.46410161513775	2.60268968544438	1.3609765531356
HU001.28.j	50	32	HU001	28	j	nat	drought	5	7	11		HU001.28.j	12	15.1	4.6	3.46410161513775	2.71469474382088	1.52605630349505
RO004.3.h	50	34	RO004	3	h	nat	drought	4	5	14		RO004.3.h	12	17.2	3.2	3.46410161513775	2.84490938381941	1.16315080980568
BG001.29.f	50	36	BG001	29	f	nat	drought	4	5	13		BG001.29.f	12	15.5	4.2	3.46410161513775	2.7408400239252	1.43508452528932
RO001.6.d	50	38	RO001	6	d	nat	drought	3	5	15		RO001.6.d	10	15	3	3.16227766016838	2.70805020110221	1.09861228866811
US011.13.a	50	39	US011	13	a	inv	drought	6	8	12	two rosettes (9/8)	US011.13.a	7	11.2	1.8	2.64575131106459	2.41591377830105	0.587786664902119
RU003.7.f	50	40	RU003	7	f	nat	drought	4	5	12		RU003.7.f	16	11.8	3	4	2.46809953147162	1.09861228866811
US001.14.b	50	42	US001	14	b	inv	drought	3	4	12		US001.14.b	11	15.4	3.1	3.3166247903554	2.73436750941958	1.1314021114911
RO005.14.c	50	43	RO005	14	c	nat	drought	3	5	12		RO005.14.c	12	13.3	3.6	3.46410161513775	2.58776403522771	1.28093384546206
TR001.24.j	50	44	TR001	24	j	nat	drought	5	8	13		TR001.24.j	8	13	2.3	2.82842712474619	2.56494935746154	0.832909122935104
US020.24.a	50	48	US020	24	a	inv	drought	1	4	12		US020.24.a	NA	NA	NA	NA	NA	NA
UA006.10.e	50	49	UA006	10	e	nat	drought	3	7	14		UA006.10.e	NA	NA	NA	NA	NA	NA
GR002.2.d	50	50	GR002	2	d	nat	drought	3	6	13		GR002.2.d	11	12.4	3.2	3.3166247903554	2.51769647261099	1.16315080980568
